year,NDWI_Otsu_km2,RandomForest_km2,SVM_km2
2016,1688.0861624981085,-2.9776876813898525,86.17473092962564
2017,1224.7678662147941,180.54522224546963,630.8616488253729
2018,-2045.6423111685108,-1782.4160275540821,-1820.1729750621657
2019,1755.9059421893219,-261.98100578376284,-59.02943901345043
2020,2495.9029247450367,-264.4071894136441,250.93165237156973
